Submission Date & Time,Issue Type,Urgency,Priority,Description Details,Resolution Time (Hours)
2024-10-02 01:47:00,Compliance Check,Low,Medium,Default description of compliance check with low urgency.,7.9
2024-10-01 08:38:00,Hardware Failure,Scheduled,Low,Default description of hardware failure with scheduled urgency.,74.9
2024-10-02 04:33:00,Configuration Change,Routine,Medium,Default description of configuration change with routine urgency.,4.6
2024-10-01 20:16:00,Software Update,Scheduled,High,Default description of software update with scheduled urgency.,2.8
2024-10-02 00:20:00,Configuration Change,Moderate,High,Default description of configuration change with moderate urgency.,3.7
2024-10-02 00:21:00,Performance Issue,Moderate,Medium,Default description of performance issue with moderate urgency.,6.0
2024-10-01 21:55:00,Performance Issue,Routine,High,Default description of performance issue with routine urgency.,2.5
2024-10-01 23:25:00,Maintenance Task,High,High,Default description of maintenance task with high urgency.,1.0
2024-10-01 09:19:00,User Inquiry,Routine,High,Default description of user inquiry with routine urgency.,1.0
2024-10-01 08:06:00,User Inquiry,Low,Medium,Default description of user inquiry with low urgency.,4.3
2024-10-02 05:32:00,User Inquiry,Low,High,Default description of user inquiry with low urgency.,1.1
2024-10-01 17:43:00,Feature Request,Critical,High,Default description of feature request with critical urgency.,3.6
2024-10-02 03:48:00,Data Discrepancy,Moderate,High,Default description of data discrepancy with moderate urgency.,3.6
2024-10-01 13:13:00,Hardware Failure,Routine,Low,Default description of hardware failure with routine urgency.,27.2
2024-10-01 15:45:00,System Outage,Moderate,High,Default description of system outage with moderate urgency.,2.4
2024-10-02 00:11:00,Feature Request,Moderate,High,Default description of feature request with moderate urgency.,3.1
2024-10-01 16:20:00,Data Discrepancy,High,Medium,Default description of data discrepancy with high urgency.,9.0
2024-10-01 18:29:00,Data Discrepancy,Routine,High,Default description of data discrepancy with routine urgency.,3.1
2024-10-01 08:37:00,Software Update,Critical,Low,Default description of software update with critical urgency.,2.1
2024-10-02 05:02:00,Configuration Change,Scheduled,High,Default description of configuration change with scheduled urgency.,1.6
2024-10-02 00:43:00,Bug Report,Critical,Medium,Default description of bug report with critical urgency.,3.5
2024-10-01 08:13:00,Software Update,Moderate,Low,Default description of software update with moderate urgency.,22.4
2024-10-01 11:24:00,Hardware Failure,Scheduled,Medium,Default description of hardware failure with scheduled urgency.,4.1
2024-10-01 19:40:00,Hardware Failure,Routine,High,Default description of hardware failure with routine urgency.,2.1
2024-10-01 22:28:00,System Outage,Routine,Medium,Default description of system outage with routine urgency.,8.3
2024-10-01 17:08:00,Performance Issue,Scheduled,Medium,Default description of performance issue with scheduled urgency.,5.2
2024-10-01 12:25:00,Compliance Check,Low,Low,Default description of compliance check with low urgency.,41.2
2024-10-01 11:13:00,Hardware Failure,Scheduled,High,Default description of hardware failure with scheduled urgency.,1.7
2024-10-02 01:31:00,Compliance Check,Scheduled,Medium,Default description of compliance check with scheduled urgency.,7.1
2024-10-01 13:09:00,Access Request,Scheduled,Medium,Default description of access request with scheduled urgency.,4.1
2024-10-02 07:31:00,Data Discrepancy,Low,Medium,Default description of data discrepancy with low urgency.,6.1
2024-10-01 21:31:00,Hardware Failure,High,High,Default description of hardware failure with high urgency.,3.5
2024-10-01 20:53:00,User Inquiry,Routine,High,Default description of user inquiry with routine urgency.,1.8
2024-10-02 02:44:00,Performance Issue,High,Low,Default description of performance issue with high urgency.,8.3
2024-10-01 13:03:00,User Inquiry,Critical,High,Default description of user inquiry with critical urgency.,2.4
2024-10-02 02:38:00,User Inquiry,Scheduled,Medium,Default description of user inquiry with scheduled urgency.,8.4
2024-10-02 04:46:00,Hardware Failure,Routine,High,Default description of hardware failure with routine urgency.,3.1
2024-10-02 06:55:00,Performance Issue,Scheduled,Medium,Default description of performance issue with scheduled urgency.,9.4
2024-10-01 23:58:00,System Outage,Critical,Medium,Default description of system outage with critical urgency.,1.8
2024-10-01 08:44:00,User Inquiry,Scheduled,Low,Default description of user inquiry with scheduled urgency.,86.0
2024-10-02 00:16:00,System Outage,Moderate,High,Default description of system outage with moderate urgency.,1.0
2024-10-01 18:44:00,System Outage,Low,High,Default description of system outage with low urgency.,1.7
2024-10-01 08:34:00,Performance Issue,Scheduled,Medium,Default description of performance issue with scheduled urgency.,6.4
2024-10-01 23:42:00,Performance Issue,High,High,Default description of performance issue with high urgency.,2.5
2024-10-01 13:27:00,System Outage,Routine,Low,Default description of system outage with routine urgency.,42.6
2024-10-01 19:12:00,Maintenance Task,High,Medium,Default description of maintenance task with high urgency.,8.7
2024-10-02 00:46:00,Bug Report,Scheduled,Low,Default description of bug report with scheduled urgency.,54.8
2024-10-01 08:50:00,Data Discrepancy,High,Low,Default description of data discrepancy with high urgency.,5.4
2024-10-01 16:38:00,Performance Issue,Critical,Low,Default description of performance issue with critical urgency.,3.6
2024-10-01 10:09:00,Access Request,Scheduled,Medium,Default description of access request with scheduled urgency.,4.0
2024-10-01 21:16:00,Software Update,High,High,Default description of software update with high urgency.,4.0
2024-10-02 03:53:00,Data Discrepancy,Low,Medium,Default description of data discrepancy with low urgency.,10.6
2024-10-01 22:20:00,User Inquiry,Critical,Low,Default description of user inquiry with critical urgency.,3.5
2024-10-01 09:17:00,System Outage,Routine,High,Default description of system outage with routine urgency.,2.0
2024-10-01 18:11:00,Bug Report,Routine,High,Default description of bug report with routine urgency.,2.8
2024-10-01 08:14:00,Access Request,Critical,High,Default description of access request with critical urgency.,2.0
2024-10-01 21:14:00,Performance Issue,Moderate,High,Default description of performance issue with moderate urgency.,1.9
2024-10-01 21:59:00,Security Incident,Moderate,High,Default description of security incident with moderate urgency.,1.5
2024-10-01 21:38:00,Bug Report,High,Medium,Default description of bug report with high urgency.,5.1
2024-10-01 11:55:00,Configuration Change,Critical,High,Default description of configuration change with critical urgency.,3.6
2024-10-01 23:18:00,System Outage,Critical,High,Default description of system outage with critical urgency.,2.9
2024-10-02 04:07:00,Performance Issue,Low,Low,Default description of performance issue with low urgency.,31.3
2024-10-01 19:42:00,System Outage,Routine,High,Default description of system outage with routine urgency.,1.7
2024-10-02 05:46:00,Access Request,Low,Low,Default description of access request with low urgency.,54.1
2024-10-01 13:16:00,Feature Request,Routine,Low,Default description of feature request with routine urgency.,73.1
2024-10-02 06:55:00,Bug Report,Low,High,Default description of bug report with low urgency.,1.4
2024-10-01 20:16:00,Data Discrepancy,High,Low,Default description of data discrepancy with high urgency.,4.8
2024-10-01 16:14:00,Maintenance Task,Low,Low,Default description of maintenance task with low urgency.,67.7
2024-10-01 18:52:00,Hardware Failure,Routine,High,Default description of hardware failure with routine urgency.,3.7
2024-10-02 05:30:00,Hardware Failure,Critical,Medium,Default description of hardware failure with critical urgency.,3.7
2024-10-01 21:36:00,Security Incident,Routine,High,Default description of security incident with routine urgency.,3.2
2024-10-01 10:12:00,Maintenance Task,Critical,Medium,Default description of maintenance task with critical urgency.,3.2
2024-10-02 07:06:00,Security Incident,High,High,Default description of security incident with high urgency.,1.2
2024-10-01 19:13:00,Maintenance Task,Low,Low,Default description of maintenance task with low urgency.,54.0
2024-10-01 23:20:00,System Outage,High,Medium,Default description of system outage with high urgency.,7.5
2024-10-01 17:31:00,Access Request,Routine,High,Default description of access request with routine urgency.,2.4
2024-10-01 13:40:00,Maintenance Task,Scheduled,High,Default description of maintenance task with scheduled urgency.,2.5
2024-10-01 10:17:00,Compliance Check,Critical,Medium,Default description of compliance check with critical urgency.,2.1
2024-10-01 09:19:00,Feature Request,Scheduled,High,Default description of feature request with scheduled urgency.,1.2
2024-10-01 23:29:00,Performance Issue,Critical,High,Default description of performance issue with critical urgency.,3.5
2024-10-01 15:46:00,Hardware Failure,Moderate,High,Default description of hardware failure with moderate urgency.,4.0
2024-10-01 17:44:00,Hardware Failure,Routine,Low,Default description of hardware failure with routine urgency.,54.5
2024-10-01 08:03:00,System Outage,High,Low,Default description of system outage with high urgency.,9.8
2024-10-01 21:42:00,Software Update,High,Low,Default description of software update with high urgency.,8.5
2024-10-02 03:54:00,Data Discrepancy,High,Medium,Default description of data discrepancy with high urgency.,8.5
2024-10-01 08:11:00,Performance Issue,Low,Low,Default description of performance issue with low urgency.,94.6
2024-10-01 14:32:00,User Inquiry,High,High,Default description of user inquiry with high urgency.,2.1
2024-10-01 19:40:00,Data Discrepancy,Low,Low,Default description of data discrepancy with low urgency.,37.6
2024-10-01 15:27:00,System Outage,Critical,High,Default description of system outage with critical urgency.,3.2
2024-10-01 17:56:00,Hardware Failure,Scheduled,Medium,Default description of hardware failure with scheduled urgency.,7.5
2024-10-01 22:17:00,Data Discrepancy,High,Medium,Default description of data discrepancy with high urgency.,7.0
2024-10-01 19:53:00,User Inquiry,High,High,Default description of user inquiry with high urgency.,1.4
2024-10-01 20:21:00,Software Update,Critical,Low,Default description of software update with critical urgency.,3.1
2024-10-01 20:46:00,Configuration Change,Moderate,High,Default description of configuration change with moderate urgency.,2.9
2024-10-02 00:23:00,Hardware Failure,Critical,Medium,Default description of hardware failure with critical urgency.,2.0
2024-10-01 22:47:00,User Inquiry,Low,Medium,Default description of user inquiry with low urgency.,7.6
2024-10-01 12:05:00,Access Request,Routine,Medium,Default description of access request with routine urgency.,11.3
2024-10-01 20:57:00,Compliance Check,Routine,High,Default description of compliance check with routine urgency.,1.1
2024-10-01 13:13:00,User Inquiry,Routine,Medium,Default description of user inquiry with routine urgency.,8.6
2024-10-01 09:33:00,Configuration Change,Routine,Medium,Default description of configuration change with routine urgency.,8.5
2024-10-01 13:20:00,Feature Request,High,High,Default description of feature request with high urgency.,3.1
2024-10-01 13:16:00,Configuration Change,Low,Low,Default description of configuration change with low urgency.,73.8
2024-10-02 03:00:00,Feature Request,Critical,Low,Default description of feature request with critical urgency.,3.2
2024-10-02 03:18:00,Access Request,Scheduled,Medium,Default description of access request with scheduled urgency.,9.5
2024-10-01 09:51:00,User Inquiry,Critical,Medium,Default description of user inquiry with critical urgency.,3.8
2024-10-01 11:39:00,Compliance Check,Low,High,Default description of compliance check with low urgency.,2.5
2024-10-01 14:25:00,Configuration Change,Moderate,High,Default description of configuration change with moderate urgency.,1.4
2024-10-01 21:48:00,Data Discrepancy,Critical,High,Default description of data discrepancy with critical urgency.,2.5
2024-10-02 07:42:00,Access Request,High,Low,Default description of access request with high urgency.,10.2
2024-10-01 14:45:00,Feature Request,Moderate,Low,Default description of feature request with moderate urgency.,16.2
2024-10-01 09:03:00,User Inquiry,Moderate,High,Default description of user inquiry with moderate urgency.,1.1
2024-10-01 20:25:00,Security Incident,Low,Low,Default description of security incident with low urgency.,45.5
2024-10-01 17:42:00,User Inquiry,Low,Medium,Default description of user inquiry with low urgency.,5.3
2024-10-01 14:17:00,Performance Issue,Low,Medium,Default description of performance issue with low urgency.,6.9
2024-10-01 09:31:00,Performance Issue,Critical,Low,Default description of performance issue with critical urgency.,1.3
2024-10-01 17:07:00,Bug Report,Moderate,Medium,Default description of bug report with moderate urgency.,11.6
2024-10-01 16:39:00,User Inquiry,Critical,Medium,Default description of user inquiry with critical urgency.,3.4
2024-10-02 03:17:00,Access Request,High,Medium,Default description of access request with high urgency.,10.3
2024-10-01 08:05:00,Hardware Failure,Routine,Low,Default description of hardware failure with routine urgency.,91.9
2024-10-01 17:49:00,System Outage,High,High,Default description of system outage with high urgency.,1.4
2024-10-01 17:31:00,Data Discrepancy,Routine,High,Default description of data discrepancy with routine urgency.,2.8
2024-10-01 20:30:00,Maintenance Task,Critical,Medium,Default description of maintenance task with critical urgency.,3.1
2024-10-02 04:57:00,Software Update,Moderate,Medium,Default description of software update with moderate urgency.,7.9
2024-10-02 04:35:00,Compliance Check,Moderate,High,Default description of compliance check with moderate urgency.,3.6
2024-10-01 20:42:00,Data Discrepancy,High,Medium,Default description of data discrepancy with high urgency.,7.4
2024-10-01 08:36:00,Hardware Failure,Scheduled,Medium,Default description of hardware failure with scheduled urgency.,7.8
2024-10-01 13:13:00,Software Update,Critical,Low,Default description of software update with critical urgency.,2.4
2024-10-02 01:25:00,Compliance Check,Routine,Medium,Default description of compliance check with routine urgency.,10.9
2024-10-01 12:34:00,Hardware Failure,Moderate,High,Default description of hardware failure with moderate urgency.,3.6
2024-10-02 02:35:00,Maintenance Task,High,High,Default description of maintenance task with high urgency.,1.1
2024-10-01 21:45:00,Security Incident,Critical,High,Default description of security incident with critical urgency.,1.7
2024-10-02 07:30:00,Feature Request,Routine,Medium,Default description of feature request with routine urgency.,8.9
2024-10-02 06:34:00,Compliance Check,Critical,High,Default description of compliance check with critical urgency.,4.0
2024-10-01 15:44:00,Bug Report,Routine,High,Default description of bug report with routine urgency.,3.9
2024-10-02 06:37:00,Software Update,Low,Medium,Default description of software update with low urgency.,8.8
2024-10-02 04:59:00,Data Discrepancy,Scheduled,Low,Default description of data discrepancy with scheduled urgency.,74.2
2024-10-01 08:08:00,Feature Request,Low,High,Default description of feature request with low urgency.,3.4
2024-10-02 07:11:00,Data Discrepancy,Moderate,High,Default description of data discrepancy with moderate urgency.,1.3
2024-10-02 04:02:00,Maintenance Task,Moderate,Medium,Default description of maintenance task with moderate urgency.,9.6
2024-10-02 03:41:00,Data Discrepancy,Routine,Medium,Default description of data discrepancy with routine urgency.,5.7
2024-10-01 13:25:00,Performance Issue,Moderate,Low,Default description of performance issue with moderate urgency.,20.0
2024-10-02 07:26:00,Bug Report,Moderate,High,Default description of bug report with moderate urgency.,1.5
2024-10-02 06:39:00,Hardware Failure,Critical,Medium,Default description of hardware failure with critical urgency.,2.9
2024-10-02 05:32:00,User Inquiry,Low,High,Default description of user inquiry with low urgency.,1.5
2024-10-01 13:52:00,Software Update,Low,Low,Default description of software update with low urgency.,92.2
2024-10-02 06:02:00,Bug Report,Low,High,Default description of bug report with low urgency.,2.0
2024-10-01 20:40:00,Maintenance Task,Low,Low,Default description of maintenance task with low urgency.,71.2
2024-10-01 11:47:00,System Outage,Low,High,Default description of system outage with low urgency.,3.1
2024-10-02 05:37:00,Configuration Change,Critical,Low,Default description of configuration change with critical urgency.,3.5
2024-10-01 15:53:00,Feature Request,High,High,Default description of feature request with high urgency.,2.0
2024-10-01 20:44:00,Security Incident,Moderate,High,Default description of security incident with moderate urgency.,3.5
2024-10-01 22:26:00,Configuration Change,Routine,Low,Default description of configuration change with routine urgency.,68.9
2024-10-01 23:43:00,Software Update,Critical,Medium,Default description of software update with critical urgency.,3.0
2024-10-01 19:58:00,Software Update,Routine,Medium,Default description of software update with routine urgency.,6.0
2024-10-01 20:53:00,Data Discrepancy,Moderate,Medium,Default description of data discrepancy with moderate urgency.,5.0
2024-10-02 02:46:00,Security Incident,High,Low,Default description of security incident with high urgency.,10.8
2024-10-01 15:40:00,Data Discrepancy,Moderate,High,Default description of data discrepancy with moderate urgency.,3.5
2024-10-02 06:07:00,Configuration Change,Moderate,Medium,Default description of configuration change with moderate urgency.,5.0
2024-10-02 05:44:00,System Outage,Low,Medium,Default description of system outage with low urgency.,7.6
2024-10-01 22:30:00,Performance Issue,Low,Medium,Default description of performance issue with low urgency.,9.4
2024-10-01 10:16:00,Security Incident,Scheduled,Medium,Default description of security incident with scheduled urgency.,8.9
2024-10-02 07:51:00,Performance Issue,High,High,Default description of performance issue with high urgency.,2.4
2024-10-01 17:33:00,Data Discrepancy,High,High,Default description of data discrepancy with high urgency.,3.4
2024-10-01 21:41:00,Data Discrepancy,Low,High,Default description of data discrepancy with low urgency.,1.7
2024-10-01 17:46:00,Security Incident,Critical,Low,Default description of security incident with critical urgency.,2.2
2024-10-01 18:40:00,User Inquiry,Low,High,Default description of user inquiry with low urgency.,2.9
2024-10-01 23:48:00,Software Update,Critical,Low,Default description of software update with critical urgency.,1.5
2024-10-01 20:52:00,System Outage,High,Low,Default description of system outage with high urgency.,6.6
2024-10-01 11:01:00,Access Request,Scheduled,High,Default description of access request with scheduled urgency.,2.4
2024-10-01 14:39:00,Access Request,Critical,Low,Default description of access request with critical urgency.,3.7
2024-10-01 18:21:00,Feature Request,High,Medium,Default description of feature request with high urgency.,6.8
2024-10-01 18:36:00,Security Incident,Routine,Medium,Default description of security incident with routine urgency.,6.4
2024-10-01 17:05:00,Access Request,Low,Low,Default description of access request with low urgency.,67.2
2024-10-02 04:24:00,Performance Issue,Low,Low,Default description of performance issue with low urgency.,25.9
2024-10-02 03:28:00,Maintenance Task,Critical,Low,Default description of maintenance task with critical urgency.,2.2
2024-10-01 10:12:00,Bug Report,Low,Low,Default description of bug report with low urgency.,31.8
2024-10-01 10:17:00,Feature Request,Low,High,Default description of feature request with low urgency.,2.6
2024-10-02 04:28:00,Maintenance Task,Critical,High,Default description of maintenance task with critical urgency.,2.7
2024-10-01 11:42:00,Hardware Failure,Moderate,Medium,Default description of hardware failure with moderate urgency.,6.4
2024-10-01 22:51:00,Feature Request,Critical,Medium,Default description of feature request with critical urgency.,1.4
2024-10-01 09:16:00,Performance Issue,Low,High,Default description of performance issue with low urgency.,1.2
2024-10-02 07:34:00,Compliance Check,Scheduled,High,Default description of compliance check with scheduled urgency.,3.7
2024-10-01 15:33:00,Performance Issue,Scheduled,Low,Default description of performance issue with scheduled urgency.,49.8
2024-10-02 03:09:00,Maintenance Task,Moderate,Medium,Default description of maintenance task with moderate urgency.,6.7
2024-10-01 23:11:00,Software Update,Critical,Medium,Default description of software update with critical urgency.,3.7
2024-10-02 06:59:00,Hardware Failure,Critical,High,Default description of hardware failure with critical urgency.,1.3
2024-10-01 12:34:00,Configuration Change,Scheduled,High,Default description of configuration change with scheduled urgency.,2.5
2024-10-02 02:11:00,System Outage,Critical,Low,Default description of system outage with critical urgency.,3.9
2024-10-01 16:54:00,Feature Request,High,Medium,Default description of feature request with high urgency.,9.1
2024-10-01 18:59:00,Access Request,High,High,Default description of access request with high urgency.,2.6
2024-10-01 19:25:00,Maintenance Task,Scheduled,Medium,Default description of maintenance task with scheduled urgency.,8.3
2024-10-01 15:15:00,Feature Request,Low,Low,Default description of feature request with low urgency.,49.0
2024-10-01 16:39:00,Access Request,Routine,Medium,Default description of access request with routine urgency.,7.4
2024-10-01 14:58:00,Data Discrepancy,Routine,Medium,Default description of data discrepancy with routine urgency.,10.6
2024-10-01 09:50:00,Security Incident,Critical,Medium,Default description of security incident with critical urgency.,1.7
2024-10-01 18:55:00,Security Incident,Routine,High,Default description of security incident with routine urgency.,3.7
2024-10-02 03:37:00,Performance Issue,Moderate,Low,Default description of performance issue with moderate urgency.,15.4
2024-10-01 12:18:00,Security Incident,Moderate,High,Default description of security incident with moderate urgency.,2.6
2024-10-01 21:40:00,Maintenance Task,Low,Low,Default description of maintenance task with low urgency.,79.3
2024-10-02 03:44:00,Software Update,Critical,Medium,Default description of software update with critical urgency.,3.5
2024-10-01 18:25:00,Compliance Check,Critical,Low,Default description of compliance check with critical urgency.,1.5
2024-10-01 14:20:00,Configuration Change,Scheduled,High,Default description of configuration change with scheduled urgency.,3.0
2024-10-01 14:08:00,Access Request,Low,Low,Default description of access request with low urgency.,57.9
2024-10-01 16:51:00,Data Discrepancy,Routine,Medium,Default description of data discrepancy with routine urgency.,4.7
2024-10-02 05:32:00,Configuration Change,High,High,Default description of configuration change with high urgency.,1.7
2024-10-01 10:47:00,System Outage,Scheduled,High,Default description of system outage with scheduled urgency.,3.6
2024-10-01 15:57:00,Software Update,Moderate,Low,Default description of software update with moderate urgency.,14.3
2024-10-02 03:41:00,Maintenance Task,High,High,Default description of maintenance task with high urgency.,2.7
2024-10-02 07:30:00,User Inquiry,Low,Low,Default description of user inquiry with low urgency.,92.0
2024-10-01 18:06:00,User Inquiry,Routine,Medium,Default description of user inquiry with routine urgency.,10.9
2024-10-01 08:37:00,Performance Issue,Critical,High,Default description of performance issue with critical urgency.,3.9
2024-10-02 04:37:00,Security Incident,Scheduled,Low,Default description of security incident with scheduled urgency.,42.0
2024-10-01 10:50:00,Hardware Failure,Low,High,Default description of hardware failure with low urgency.,2.7
2024-10-01 10:00:00,Software Update,Low,Low,Default description of software update with low urgency.,63.3
2024-10-01 09:20:00,Security Incident,Scheduled,Low,Default description of security incident with scheduled urgency.,32.2
2024-10-01 22:49:00,Bug Report,Routine,Medium,Default description of bug report with routine urgency.,5.8
2024-10-01 14:36:00,Bug Report,Critical,Medium,Default description of bug report with critical urgency.,1.3
2024-10-02 07:43:00,Software Update,Moderate,Low,Default description of software update with moderate urgency.,18.3
2024-10-01 20:36:00,Software Update,Moderate,Medium,Default description of software update with moderate urgency.,11.3
2024-10-01 15:38:00,Bug Report,Scheduled,Low,Default description of bug report with scheduled urgency.,72.7
2024-10-01 08:52:00,Software Update,Moderate,Low,Default description of software update with moderate urgency.,21.4
2024-10-01 15:36:00,Security Incident,Moderate,Medium,Default description of security incident with moderate urgency.,10.6
2024-10-01 18:25:00,Hardware Failure,Critical,High,Default description of hardware failure with critical urgency.,3.9
2024-10-02 03:44:00,Software Update,Scheduled,High,Default description of software update with scheduled urgency.,3.3
2024-10-01 11:39:00,Security Incident,Moderate,High,Default description of security incident with moderate urgency.,3.9
2024-10-01 08:33:00,Bug Report,Scheduled,Medium,Default description of bug report with scheduled urgency.,11.6
2024-10-02 01:55:00,Compliance Check,Moderate,High,Default description of compliance check with moderate urgency.,3.6
2024-10-01 18:31:00,User Inquiry,Low,Medium,Default description of user inquiry with low urgency.,9.6
2024-10-02 05:02:00,Data Discrepancy,Critical,High,Default description of data discrepancy with critical urgency.,2.9
2024-10-01 10:57:00,Performance Issue,High,High,Default description of performance issue with high urgency.,2.3
2024-10-01 16:35:00,Bug Report,Moderate,Medium,Default description of bug report with moderate urgency.,7.7
2024-10-02 04:50:00,Access Request,High,Low,Default description of access request with high urgency.,10.8
2024-10-01 13:52:00,Data Discrepancy,Scheduled,High,Default description of data discrepancy with scheduled urgency.,2.1
2024-10-01 15:08:00,Security Incident,Moderate,Low,Default description of security incident with moderate urgency.,23.7
2024-10-01 20:39:00,Compliance Check,High,Medium,Default description of compliance check with high urgency.,10.8
2024-10-01 21:23:00,Data Discrepancy,Routine,Medium,Default description of data discrepancy with routine urgency.,7.5
2024-10-01 13:34:00,Hardware Failure,Critical,High,Default description of hardware failure with critical urgency.,1.2
2024-10-02 00:07:00,Hardware Failure,Moderate,Medium,Default description of hardware failure with moderate urgency.,10.4
2024-10-01 13:34:00,User Inquiry,Critical,Low,Default description of user inquiry with critical urgency.,3.6
2024-10-02 06:01:00,Configuration Change,Critical,High,Default description of configuration change with critical urgency.,1.7
2024-10-01 10:11:00,User Inquiry,Critical,Low,Default description of user inquiry with critical urgency.,1.3
2024-10-01 13:35:00,Hardware Failure,Low,Low,Default description of hardware failure with low urgency.,76.6
2024-10-01 18:33:00,System Outage,Low,High,Default description of system outage with low urgency.,2.6
2024-10-01 22:32:00,Access Request,Moderate,High,Default description of access request with moderate urgency.,1.9
2024-10-01 15:35:00,Compliance Check,Low,Medium,Default description of compliance check with low urgency.,5.1
2024-10-02 04:28:00,Software Update,Moderate,Medium,Default description of software update with moderate urgency.,5.3
2024-10-01 12:13:00,Performance Issue,Routine,High,Default description of performance issue with routine urgency.,1.2
2024-10-01 08:17:00,Maintenance Task,Low,Low,Default description of maintenance task with low urgency.,35.6
2024-10-02 00:25:00,Maintenance Task,Critical,Low,Default description of maintenance task with critical urgency.,3.1
2024-10-02 02:30:00,Performance Issue,Scheduled,Medium,Default description of performance issue with scheduled urgency.,10.6
2024-10-02 07:36:00,Access Request,Moderate,Medium,Default description of access request with moderate urgency.,8.9
2024-10-02 01:58:00,Feature Request,Routine,Low,Default description of feature request with routine urgency.,70.9
2024-10-01 12:12:00,Compliance Check,Moderate,Medium,Default description of compliance check with moderate urgency.,7.6
2024-10-02 05:23:00,System Outage,Low,Low,Default description of system outage with low urgency.,89.8
2024-10-01 12:27:00,Compliance Check,Low,Medium,Default description of compliance check with low urgency.,5.2
2024-10-01 10:40:00,Compliance Check,High,Medium,Default description of compliance check with high urgency.,9.2
2024-10-01 21:39:00,Security Incident,Low,Low,Default description of security incident with low urgency.,48.6
2024-10-01 10:38:00,Security Incident,Critical,High,Default description of security incident with critical urgency.,1.0
2024-10-01 20:59:00,Configuration Change,Scheduled,Medium,Default description of configuration change with scheduled urgency.,4.7
2024-10-01 10:45:00,Compliance Check,High,High,Default description of compliance check with high urgency.,2.2
2024-10-01 13:18:00,Configuration Change,Scheduled,High,Default description of configuration change with scheduled urgency.,2.4
2024-10-01 22:34:00,Compliance Check,Routine,Low,Default description of compliance check with routine urgency.,52.0
2024-10-02 05:21:00,Data Discrepancy,Moderate,Low,Default description of data discrepancy with moderate urgency.,23.0
2024-10-01 10:29:00,Security Incident,High,Low,Default description of security incident with high urgency.,10.7
2024-10-02 06:55:00,Compliance Check,Moderate,Medium,Default description of compliance check with moderate urgency.,10.6
2024-10-01 09:51:00,Access Request,High,High,Default description of access request with high urgency.,1.8
2024-10-01 14:03:00,Data Discrepancy,Moderate,High,Default description of data discrepancy with moderate urgency.,2.9
2024-10-01 10:27:00,Data Discrepancy,Routine,Low,Default description of data discrepancy with routine urgency.,48.1
2024-10-01 12:29:00,User Inquiry,Low,Low,Default description of user inquiry with low urgency.,92.3
2024-10-01 08:24:00,Bug Report,Scheduled,Low,Default description of bug report with scheduled urgency.,27.5
2024-10-01 21:03:00,Software Update,Critical,High,Default description of software update with critical urgency.,1.6
2024-10-01 08:45:00,System Outage,Scheduled,High,Default description of system outage with scheduled urgency.,2.8
2024-10-02 05:33:00,Software Update,Critical,High,Default description of software update with critical urgency.,1.8
